iter	Passed	Remaining
0	63	63299
1	70	35091
2	76	25412
3	83	20720
4	88	17708
5	96	15934
6	103	14699
7	109	13609
8	115	12746
9	121	12036
10	127	11474
11	133	10974
12	139	10576
13	145	10227
14	150	9908
15	156	9645
16	162	9404
17	168	9179
18	173	8959
19	180	8837
20	185	8657
21	191	8532
22	198	8448
23	204	8315
24	210	8221
25	217	8140
26	222	8032
27	228	7932
28	234	7845
29	240	7770
30	246	7717
31	253	7657
32	259	7593
33	265	7550
34	271	7487
35	277	7433
36	283	7388
37	289	7338
38	295	7290
39	302	7254
40	308	7222
41	314	7172
42	319	7121
43	325	7078
44	331	7040
45	337	7006
46	344	6984
47	350	6951
48	356	6926
49	362	6895
50	368	6860
51	374	6830
52	381	6809
53	387	6791
54	394	6771
55	400	6745
56	406	6722
57	411	6688
58	417	6660
59	423	6632
60	429	6607
61	435	6582
62	441	6559
63	447	6540
64	452	6513
65	458	6492
66	464	6471
67	470	6451
68	476	6427
69	482	6407
70	488	6389
71	494	6369
72	500	6349
73	505	6328
74	511	6305
75	517	6288
76	523	6270
77	528	6251
78	534	6235
79	540	6217
80	546	6201
81	551	6179
82	558	6171
83	565	6162
84	570	6142
85	576	6132
86	582	6109
87	588	6099
88	594	6083
89	599	6064
90	605	6049
91	611	6031
92	616	6014
93	622	5999
94	628	5984
95	633	5967
96	639	5954
97	645	5942
98	651	5929
99	657	5915
100	663	5902
101	668	5885
102	674	5874
103	680	5863
104	686	5849
105	692	5843
106	698	5829
107	704	5815
108	709	5798
109	715	5789
110	721	5778
111	727	5767
112	733	5756
113	739	5744
114	744	5729
115	750	5717
116	755	5705
117	761	5695
118	767	5680
119	773	5669
120	779	5662
121	784	5649
122	790	5636
123	796	5624
124	801	5612
125	807	5600
126	813	5592
127	819	5583
128	825	5572
129	831	5561
130	836	5550
131	842	5538
132	848	5529
133	854	5519
134	860	5511
135	866	5502
136	871	5490
137	877	5482
138	883	5471
139	888	5460
140	894	5449
141	899	5436
142	905	5426
143	911	5416
144	916	5406
145	922	5398
146	928	5390
147	934	5381
148	940	5369
149	946	5360
150	951	5350
151	957	5339
152	962	5329
153	969	5325
154	975	5316
155	980	5306
156	986	5296
157	992	5287
158	997	5278
159	1004	5273
160	1010	5264
161	1016	5256
162	1022	5248
163	1027	5238
164	1033	5228
165	1039	5220
166	1045	5212
167	1050	5203
168	1056	5195
169	1062	5186
170	1067	5177
171	1073	5169
172	1079	5161
173	1084	5150
174	1090	5141
175	1096	5132
176	1101	5123
177	1107	5113
178	1113	5105
179	1118	5097
180	1124	5088
181	1130	5079
182	1135	5068
183	1141	5062
184	1147	5054
185	1153	5046
186	1158	5037
187	1164	5029
188	1170	5022
189	1175	5013
190	1181	5005
191	1187	4999
192	1193	4991
193	1199	4982
194	1204	4972
195	1209	4962
196	1215	4954
197	1220	4944
198	1226	4937
199	1232	4929
200	1238	4921
201	1244	4915
202	1249	4906
203	1255	4898
204	1261	4890
205	1267	4883
206	1272	4876
207	1278	4868
208	1284	4862
209	1290	4854
210	1296	4847
211	1307	4858
212	1313	4852
213	1319	4845
214	1324	4837
215	1331	4831
216	1337	4825
217	1342	4817
218	1348	4810
219	1354	4802
220	1360	4796
221	1366	4787
222	1371	4778
223	1377	4770
224	1382	4761
225	1388	4755
226	1394	4749
227	1400	4742
228	1406	4734
229	1411	4726
230	1417	4718
231	1422	4710
232	1428	4703
233	1435	4699
234	1442	4694
235	1447	4686
236	1453	4678
237	1459	4672
238	1465	4665
239	1471	4658
240	1477	4653
241	1483	4646
242	1489	4640
243	1495	4632
244	1500	4625
245	1506	4618
246	1512	4609
247	1518	4603
248	1524	4597
249	1530	4591
250	1536	4584
251	1542	4577
252	1548	4571
253	1554	4564
254	1560	4558
255	1566	4553
256	1572	4546
257	1578	4538
258	1583	4530
259	1589	4523
260	1595	4518
261	1601	4511
262	1607	4503
263	1612	4496
264	1618	4489
265	1624	4482
266	1630	4474
267	1635	4467
268	1641	4461
269	1647	4454
270	1653	4446
271	1658	4439
272	1664	4432
273	1670	4426
274	1676	4418
275	1682	4413
276	1688	4408
277	1694	4400
278	1699	4392
279	1705	4385
280	1710	4377
281	1716	4370
282	1722	4364
283	1727	4356
284	1733	4348
285	1739	4341
286	1744	4334
287	1750	4327
288	1756	4322
289	1762	4315
290	1768	4309
291	1774	4301
292	1780	4295
293	1786	4288
294	1791	4282
295	1798	4276
296	1803	4269
297	1809	4263
298	1815	4256
299	1821	4249
300	1826	4242
301	1832	4236
302	1838	4228
303	1843	4221
304	1850	4215
305	1855	4208
306	1861	4202
307	1867	4195
308	1872	4188
309	1878	4181
310	1884	4175
311	1890	4167
312	1895	4161
313	1901	4153
314	1907	4147
315	1913	4141
316	1918	4134
317	1924	4126
318	1929	4119
319	1935	4113
320	1941	4106
321	1946	4098
322	1952	4092
323	1957	4085
324	1963	4077
325	1968	4070
326	1974	4063
327	1980	4057
328	1985	4049
329	1992	4044
330	1997	4038
331	2003	4030
332	2009	4025
333	2015	4019
334	2021	4012
335	2027	4005
336	2032	3999
337	2038	3992
338	2044	3986
339	2050	3979
340	2056	3973
341	2062	3967
342	2068	3961
343	2074	3955
344	2080	3950
345	2086	3944
346	2092	3937
347	2097	3930
348	2103	3923
349	2109	3916
350	2114	3910
351	2120	3903
352	2126	3897
353	2131	3890
354	2137	3883
355	2143	3877
356	2149	3871
357	2155	3865
